# Mode	Eigenvalue	Frequency_THz
1	-5.955160794751735e-17	1.2281937354436465e-8im
2	-2.5737088052772617e-17	8.074206193049507e-9im
3	1.0820921720508892e-17	5.235428820072744e-9
4	3.4020308861581875e-17	9.283019394201152e-9
5	1.4257816743160258e-16	1.9004071070903257e-8
6	1.7007824274849372e-16	2.0756040610531568e-8
7	0.01820112633743756	0.2147184007467806
8	0.030716322858244476	0.2789361123184411
9	0.036669874015148984	0.30477184255251805
10	0.03841388249486151	0.3119350911656978
11	0.04160092344161364	0.3246172671460655
12	0.04695905025170217	0.34488935022216644
13	0.052174434265176144	0.36353732399314415
14	0.0605127710782679	0.39151071483571004
15	0.063210098792645	0.40014128848549113
16	0.06589776914345175	0.40855966428758683
17	0.07129047278840508	0.4249480876483405
18	0.07644490506236529	0.4400422782819187
19	0.08113210970568172	0.45333214615832357
20	0.08368448898109418	0.46040773991644623
21	0.08551034106983516	0.4654032921523493
22	0.09794916526218388	0.49810454135083576
23	0.10688826096348963	0.5203375135917668
24	0.11652993884676098	0.5432989816344976
25	0.12349973598506499	0.559310723879117
26	0.13018826348945559	0.5742566707851693
27	0.14052461025735646	0.596617965013499
28	0.145012849081258	0.6060708192393505
29	0.14698745225800558	0.6101832234767566
30	0.15333499075489504	0.6232191180163246
31	0.15744922503897046	0.6315247788097923
32	0.16861428121690292	0.6535326800895754
33	0.17837919142021036	0.6721902784573855
34	0.18456071398959775	0.6837380712261695
35	0.22092639800508507	0.7480729267833625
36	0.2363860923212182	0.773804217467986
37	0.24635429541293244	0.7899510873345009
38	0.2911465029830496	0.8587681338080194
39	0.3094290377148866	0.8853207944781423
40	0.35254991623903553	0.9449970214065552
41	0.42447858108501524	1.0369266160295127
42	0.4850713181911747	1.1084674118694622
43	0.5049239509993011	1.1309232111674798
44	0.5355785500379359	1.164747318542134
45	0.557297229598584	1.188128938321065
46	0.6067821255696008	1.239756863229356
47	0.6399759609479182	1.273215632643328
48	0.696530461804108	1.3282816988248856
49	0.7289516827644333	1.3588436935616446
50	0.8045414431465732	1.42755990537259
51	0.8810729228615471	1.4939155887331486
52	0.8857354010992164	1.4978631384768346
53	1.0076982091195288	1.5976637266453997
54	1.0142733165470157	1.602867531994592
55	1.1007228691470792	1.66977950642228
56	1.2064467440383533	1.74813194689112
57	1.4475770368342589	1.9148774036227565
58	1.570254534072079	1.994367368784599
59	1.6037779894764819	2.0155438735577134
60	1.7581246043019738	2.110303686440369
61	1.7804324304822887	2.1236496963600806
62	1.8656109456785073	2.1738554994385595
63	1.93845403740414	2.2158884085955783
64	1.9648926570397702	2.2309485079793254
65	2.0132777706216265	2.258249802339657
66	2.1017156188336688	2.3073161587296944
67	2.2094134952253115	2.3656943513952964
68	2.2928929021814466	2.409972110286878
69	2.738162299497682	2.6335994631198463
