# mode	eigenvalue	frequency_thz
1	-2.9116429397468474e-18	2.7157462561005032e-9im
2	-1.578220381076968e-18	1.9994196477630716e-9im
3	2.0580081177298781e-19	7.220107660312117e-10
4	1.3650067879283582e-18	1.8594629835017e-9
5	4.07008116476157e-18	3.210862194475725e-9
6	4.997972299262133e-18	3.558091023807067e-9
7	9.200306379346506e-5	0.015265860052333137
8	0.00017155123829580717	0.020845727695049828
9	0.0001892726362656389	0.02189596283802534
10	0.00021835267054365708	0.023517945827917372
11	0.00030774379240697594	0.027919959400056506
12	0.0003136544954933377	0.02818680752990116
13	0.0003270752416633317	0.028783524209556405
14	0.00036338749858119674	0.03033926972168208
15	0.0005114091704726246	0.03599186800366824
16	0.0005449632750765632	0.03715384370810235
17	0.0006048767430636552	0.03914295197928715
18	0.0006140875817731278	0.03943985315224187
19	0.0006436702487802627	0.04037865509904707
20	0.0006890642893707969	0.041778226813988496
21	0.0007480999983234855	0.04353113177346781
22	0.0008039246456314806	0.04512610017572356
23	0.0008116961191199206	0.045343690734087644
24	0.0008264754364157707	0.04575463623992167
25	0.0008471713547986755	0.046323969078045306
26	0.0009265596444994935	0.04844587699906859
27	0.0009618844497183835	0.049360731104367055
28	0.000976812370017463	0.04974228220559675
29	0.0010080800384271904	0.050532134017611405
30	0.0010705086391972988	0.05207331429347998
31	0.0010925428441678998	0.052606495366378604
32	0.001180902240560939	0.05469241556671081
33	0.0012103651178241705	0.05537048546376553
34	0.0012603345002585818	0.056501898949416665
35	0.0013045070395759006	0.05748351880436443
36	0.001327679371368032	0.05799181956341167
37	0.0013799334449193807	0.05912201155982388
38	0.0014284478201410998	0.06015231166755557
39	0.0014947691504379075	0.06153287325624388
40	0.0015030779949184747	0.0617036549980066
41	0.0015433499751253907	0.06252480433958123
42	0.0015672397268417205	0.06300686157669125
43	0.0016398124988316596	0.06444915503529516
44	0.0017171912081724563	0.06595222623467227
45	0.0017460761561439411	0.06650460565466601
46	0.0018093281266906742	0.06769846147753754
47	0.0018273446451922692	0.06803468277969552
48	0.0018647460417432836	0.0687274101445498
49	0.0018933034545256194	0.0692516691266275
50	0.0019492264846981066	0.07026697920873935
51	0.0019926035599939114	0.0710445197214903
52	0.0020336417927217226	0.07177238215607334
53	0.002109515414368304	0.0730990079907752
54	0.0021487978475818667	0.07377647684057931
55	0.0021869504938191223	0.0744285584768245
56	0.002215593705019847	0.074914380585556
57	0.0022824018137485823	0.07603546103568089
58	0.002331534849672196	0.07684950727782584
59	0.002366249034418417	0.07741949900423434
60	0.0023908104876812506	0.07782026544546285
61	0.0024868453330410094	0.0793678323954696
62	0.0025008483443372843	0.07959097223394751
63	0.0025570156365096793	0.08047978798627933
64	0.0026137832090527536	0.08136823836995813
65	0.0026742459938068047	0.08230397462105377
66	0.0026861230007077567	0.08248653858883143
67	0.0027202438653994307	0.08300878392274612
68	0.002768306346002618	0.08373889116750217
69	0.002785683100576361	0.08400129598708485
70	0.00281067541504992	0.08437727181914735
71	0.0028479037448532014	0.08493423609294581
72	0.002921624497103618	0.086026515143194
73	0.0029893933648727925	0.08701851443890175
74	0.003037037054318313	0.08770920550539585
75	0.003087530223381609	0.08843531772892325
76	0.0031284801553501432	0.0890198450418758
77	0.003158346860521786	0.08944375919701113
78	0.0031866473601927588	0.08984359778206792
79	0.0031885726633920424	0.08987073446013018
80	0.003278132731899944	0.0911241308117085
81	0.003294111931623569	0.09134595230192046
82	0.003302883507860081	0.09146748965681585
83	0.0033308009346229316	0.09185323800629273
84	0.003374715824580861	0.09245677394345214
85	0.0034743793529372537	0.09381207659248296
86	0.0034967776212675465	0.0941139797855908
87	0.003518185967285897	0.09440163751260586
88	0.003573511341862299	0.09514100049951274
89	0.0036001891726499765	0.09549547481887334
90	0.0036390060983350083	0.09600890652595806
91	0.0036903964327478565	0.09668445257701608
92	0.0036966327678699374	0.09676611075953565
93	0.003739489140842002	0.09732541627174224
94	0.0037454166386535837	0.09740252142440035
95	0.0038073286903034954	0.09820425774250997
96	0.0038130017085983184	0.09827739395188345
97	0.0038558259062021765	0.09882773457767355
98	0.0038905652761904285	0.09927193447264172
99	0.003901917809343214	0.09941666498308967
100	0.00395321976029285	0.10006808999995578
101	0.0039700035032742146	0.10028028895986717
102	0.004031050543573334	0.10104835631247104
103	0.004061468777826681	0.10142889431000521
104	0.004104035492367563	0.10195902779309765
105	0.004134317493580569	0.10233449346964678
106	0.00416316390354387	0.10269088257361154
107	0.0041879098890063235	0.10299562940826777
108	0.00423953221464994	0.10362847367236941
109	0.004266759729324865	0.10396070726986881
110	0.0043193188788044345	0.10459905609999536
111	0.00434900450683499	0.10495788255898893
112	0.00438807166737841	0.10542824756674951
113	0.004428670101586221	0.10591483569467681
114	0.004456862909174091	0.10625142651338926
115	0.004494912984808116	0.10670401868573866
116	0.004572005500125919	0.10761517191503747
117	0.004584441951113773	0.10776143616653377
118	0.004622193226789248	0.10820421536656123
119	0.004663362936386018	0.10868503262084023
120	0.004672929840892367	0.10879645935420368
121	0.004734945102952356	0.10951600824518931
122	0.004784427398656375	0.11008676660369072
123	0.004796275472057253	0.11022299080403916
124	0.004861894049887463	0.11097441822876043
125	0.004864989108867561	0.11100973550638342
126	0.004892548471509045	0.11132371741144344
127	0.004924230698722629	0.11168358016008126
128	0.004972470694955053	0.11222929838212836
129	0.0049992050199344105	0.112530592514382
130	0.005038541114778146	0.1129724468350942
131	0.00505981398916731	0.11321068220022981
132	0.0051122419189539615	0.11379569439058247
133	0.00512853431379672	0.11397688002439364
134	0.005179909292420724	0.11454633787788499
135	0.005211746641404809	0.11489781750903713
136	0.005239572233593584	0.11520412977305654
137	0.005267752146105929	0.11551351465979696
138	0.005280165925450135	0.11564954189051393
139	0.0053126406023102455	0.11600463722179766
140	0.005353524727727908	0.116450146227835
141	0.00539402782378545	0.11688982888755911
142	0.0054185586409089895	0.11715532161643828
143	0.0054310109655969704	0.11728986098539854
144	0.005507918779772231	0.11811740455636076
145	0.005534115530503655	0.11839796621541353
146	0.005557037031698791	0.1186429064241307
147	0.00556605270488998	0.11873910986591367
148	0.005583463304756325	0.11892467269841143
149	0.005670058622288705	0.11984334056699485
150	0.005706435155618894	0.12022715630685958
151	0.00572547798361793	0.12042759301949743
152	0.0057771929302098905	0.12097024696400525
153	0.0057920567880869935	0.12112576622001374
154	0.00580841268059093	0.12129666607990668
155	0.005848524320959506	0.1217147697452326
156	0.00586870641734921	0.12192459563811305
157	0.005910637146423887	0.12235938378021885
158	0.005947202907704248	0.12273728428822935
159	0.0059722369467610495	0.12299533696927754
160	0.006013301225467416	0.12341746209236672
161	0.00603239434188431	0.12361324111197394
162	0.006071812015656552	0.1240164485554932
163	0.0060969484114794135	0.12427288822092758
164	0.006138859164073227	0.12469928597755285
165	0.006145376388510042	0.12476546094840203
166	0.006199140595413962	0.12531004178732727
167	0.006215222303430107	0.12547247512915113
168	0.00621593896932116	0.1254797089211838
169	0.006261519823248857	0.1259389336256643
170	0.006320724429748675	0.12653292861153698
171	0.006361831214059609	0.12694371478770092
172	0.0063997377027246085	0.12732134534953635
173	0.006425137517508456	0.12757375695687975
174	0.006461693425675603	0.1279361585371408
175	0.006492315895774049	0.12823894994960733
176	0.006540033055637233	0.12870935188304838
177	0.00657614596283127	0.1290642178325489
178	0.0066071270003865	0.1293678793582234
179	0.006630989334995126	0.12960128166549942
180	0.006677016796815271	0.1300503023148049
181	0.006690082608812209	0.13017748353921668
182	0.00670480951602102	0.1303206848982947
183	0.00673485748358199	0.13061237806337506
184	0.006753927396666036	0.1307971634154484
185	0.0068062033149599134	0.13130237776031103
186	0.006831874842147248	0.13154976679396688
187	0.006858027761486047	0.13180131737637416
188	0.006881629275277032	0.13202791596853564
189	0.006921378528809364	0.13240867279166188
190	0.006949430107725595	0.1326767203014329
191	0.006979809637062435	0.13296640311275587
192	0.007009409839637771	0.13324804893804057
193	0.007046753081269483	0.1336025227378073
194	0.007061068800819248	0.13373816292725013
195	0.007084458250902862	0.13395948041238645
196	0.007131513228451731	0.13440362362278638
197	0.00715041490063647	0.1345816203570034
198	0.007177556590081678	0.13483680224796338
199	0.007193043568672142	0.1349821922162908
200	0.007208373125189533	0.13512595026790913
201	0.007262786057012366	0.13563499549266983
202	0.0072913400244457235	0.13590136146033405
203	0.007328069261695157	0.13624322475490053
204	0.007377461986501091	0.1367016076173723
205	0.007433097466870587	0.13721609177975957
206	0.007458825272287773	0.13745335621864113
207	0.0074925071719800715	0.1377633564646339
208	0.007503811970572294	0.1378672469216918
209	0.00755747935281713	0.1383593829167886
210	0.0075742686889776895	0.13851298396337489
211	0.007626547595074704	0.13899018218066994
212	0.00763358107437805	0.13905425830885385
213	0.007663645195058343	0.13932781510224043
214	0.007737768813016066	0.13999999063897184
