# mode	eigenvalue	frequency_thz
1	-4.588887841364967e-18	3.4093677854175105e-9im
2	-2.0028224936566285e-18	2.25237844151974e-9im
3	-8.584544161725429e-19	1.4746153530637436e-9im
4	-4.423942299125855e-19	1.0585828619760224e-9im
5	1.5927596281422598e-18	2.0086082920574205e-9
6	4.6289196148667735e-18	3.4242065304447346e-9
7	9.20029626336498e-5	0.015265851659721283
8	0.00017155084456452928	0.02084570377327638
9	0.00018927217117671791	0.021895935936154614
10	0.0002183523796398888	0.023517930161836155
11	0.00030774365556702994	0.027919953192675147
12	0.0003136544291262633	0.028186804547836373
13	0.0003270756280624195	0.028783541211644604
14	0.00036338702172419087	0.030339249815248694
15	0.0005114065108568883	0.03599177441455359
16	0.0005449646019484907	0.03715388893900548
17	0.0006048704155488731	0.039142747244803766
18	0.0006140872116704776	0.039439841267295155
19	0.0006436699138862912	0.0403786445947788
20	0.000689063439463428	0.041778201048878964
21	0.0007480987789264385	0.04353109629575408
22	0.0008039245544796984	0.04512609761744612
23	0.0008116991816947398	0.04534377627614654
24	0.0008264786743528397	0.045754725867804796
25	0.0008471725081989646	0.04632400061243374
26	0.0009265588106346307	0.048445855199433834
27	0.0009618839576721398	0.04936071847927189
28	0.0009768145683005808	0.049742338177224996
29	0.001008081468863015	0.050532169869402135
30	0.0010705134218531255	0.052073430615970404
31	0.0010925426814645256	0.05260649144925322
32	0.0011808997659038605	0.054692358260932404
33	0.001210364656590447	0.05537047491375165
34	0.0012603310292655997	0.05650182114553613
35	0.0013045019758343248	0.05748340723656229
36	0.001327686708287745	0.05799197979815868
37	0.0013799308922246734	0.059121956875840265
38	0.0014284462913033585	0.0601522794776682
39	0.0014947709462924624	0.061532910219830365
40	0.0015030747385290563	0.06170358815808256
41	0.001543348114850099	0.06252476665746586
42	0.001567232717791689	0.06300672068607593
43	0.0016398089904123723	0.06444908608997986
44	0.0017171859129489014	0.06595212454767044
45	0.0017460621968957094	0.06650433981398343
46	0.0018093125369733852	0.06769816982171979
47	0.0018273371951551397	0.06803454409172804
48	0.0018647546521438811	0.0687275688175908
49	0.0018932955467198872	0.06925152450392674
50	0.0019492147242347333	0.07026676723401803
51	0.0019925922637752617	0.0710443183428563
52	0.002033633333158946	0.07177223287619376
53	0.0021095006710772756	0.07309875254778948
54	0.002148793699319509	0.07377640562766138
55	0.0021869483643823778	0.07442852224122011
56	0.0022155921905037314	0.07491435498089395
57	0.002282399368619942	0.07603542030741557
58	0.0023315354272594934	0.07684951679672634
59	0.0023662418462848684	0.07741938141261304
60	0.002390818183782792	0.0778203906984233
61	0.0024868433490124963	0.07936780073526303
62	0.0025008383378188636	0.07959081300211558
63	0.0025569948643409312	0.08047946109286731
64	0.0026137933225790924	0.0813683957891012
65	0.002674216394940879	0.08230351914480806
66	0.002686119913589484	0.08248649118858699
67	0.0027202436932207393	0.08300878129571254
68	0.0027683107850287195	0.08373895830584023
69	0.002785652131462127	0.08400082905440306
70	0.0028106909064411303	0.08437750434680225
71	0.00284791415911537	0.08493439138727321
72	0.0029216142725231754	0.08602636461293339
73	0.002989390625879824	0.08701847457409899
74	0.0030370344513552094	0.08770916791878254
75	0.0030875185046075485	0.08843514989987934
76	0.003128460236163632	0.08901956164456606
77	0.003158344124906779	0.08944372046096444
78	0.003186638762237206	0.0898434765776022
79	0.0031885698239120163	0.08987069444438658
80	0.0032781144653347897	0.09112387692827431
81	0.003294085382701279	0.09134558419945067
82	0.0033028803965342076	0.09146744657548503
83	0.003330794605417969	0.09185315073625507
84	0.0033747172385648473	0.09245679331284365
85	0.0034743577584483167	0.09381178505451428
