# mode	eigenvalue	frequency_thz
1	1.2215202495196671e-17	5.562505675664234e-9
2	1.3346722559528452e-17	5.814434039407108e-9
3	2.2022193232121657e-17	7.468792883475116e-9
4	2.5410140886386065e-17	8.022757555879585e-9
5	3.700753048412303e-17	9.682002367314108e-9
6	5.392547690799434e-17	1.168737903753843e-8
7	0.000815102612663236	0.04543873940085195
8	0.0013031359398889327	0.057453301889892616
9	0.0016704133773257077	0.06504772490662611
10	0.002121963507958816	0.07331436665936182
11	0.0026138276044815837	0.08136892939178506
12	0.0029547605619901773	0.08651298134153093
13	0.0036460005043551695	0.09610112990874364
14	0.003914725468455094	0.09957969399377406
15	0.004183370924357446	0.1029397996181889
16	0.004271148548221586	0.10401416088297971
17	0.00448505257564477	0.10658691709345539
18	0.004734344936096206	0.10950906730291171
19	0.004999626080277333	0.11253533138506547
20	0.005148770343061366	0.11420152206098484
21	0.0052524708056858205	0.1153458450988616
22	0.005324510082132399	0.11613415346310171
23	0.005352581135635922	0.11643988324363967
24	0.006144174837674083	0.12475326321120236
25	0.0062883989180281315	0.12620895588368433
26	0.006609880365247405	0.1293948320618482
27	0.00711732246768898	0.13426983438580506
28	0.00729811080772716	0.1359644462393931
29	0.007426813395194818	0.13715807706365254
30	0.007862371405431777	0.14112271054912767
31	0.008080195080727217	0.14306422770238547
32	0.008519613857859938	0.14690280464922564
33	0.008781445184377715	0.14914308737575926
34	0.008934478314315892	0.15043702323116145
35	0.009111021981630316	0.15191605672946148
36	0.009123366646009864	0.1520189385978104
37	0.00953348257627416	0.15539817720902574
38	0.00971531826098913	0.15687316102552512
39	0.009964736202031367	0.1588740749007198
40	0.010120648937139737	0.16011215833704937
41	0.010313665859472571	0.16163174447911344
42	0.010369974811024653	0.1620723698350018
43	0.010578112201580205	0.1636907793169753
44	0.01071057418281518	0.1647124808618736
45	0.010939632397674289	0.1664644484212372
46	0.011278539303420392	0.16902329368862842
47	0.01160289243221422	0.17143648935633107
48	0.011761853120626001	0.17260684230506224
49	0.011941227191509432	0.17391803195786798
50	0.01227192646909802	0.1763098207595397
51	0.01241250394541393	0.17731677812245683
52	0.012596528936090581	0.17862637137547158
53	0.012853935441517484	0.1804422313267338
54	0.012891312580356142	0.1807043891135759
55	0.013292561842591278	0.18349510211418135
56	0.013438054975885485	0.1844965878057132
57	0.013518248162831146	0.18504627158512565
58	0.013785587554577783	0.18686706830776764
59	0.01381498194454338	0.187066186355417
60	0.013963133905478603	0.18806656103282035
61	0.014337499617961042	0.19057101250356764
62	0.014363361764216502	0.1907428121539864
63	0.014472004534762058	0.19146283122620042
64	0.014622941558566934	0.19245868047185785
65	0.014730231138852027	0.1931634317637191
66	0.015056791596163558	0.195292853613906
67	0.015152516718510818	0.19591266738079907
68	0.015375075477263805	0.19734619621904292
69	0.015559710056110732	0.19852759509458245
70	0.01569617655962342	0.19939628809419666
71	0.015865421203337626	0.20046840498329963
