# mode	eigenvalue	frequency_thz
1	-4.765189548468678e-18	3.4742432467294006e-9im
2	-1.6959998352040642e-18	2.072683712119809e-9im
3	-8.963070564774042e-19	1.506775463536737e-9im
4	2.6220734272577145e-19	8.149717530974359e-10
5	1.917781168337275e-18	2.204040936609777e-9
6	3.650091066282057e-18	3.0406888502682524e-9
7	9.200306348639588e-5	0.015265860026857488
8	0.00017155123834235015	0.020845727697877618
9	0.0001892726361965378	0.02189596283402837
10	0.00021835267001161284	0.02351794579926513
11	0.0003077437923483768	0.027919959397398317
12	0.0003136544931007599	0.028186807422395713
13	0.0003270752420035473	0.028783524224526364
14	0.00036338749687931467	0.030339269650636897
15	0.0005114091705895408	0.035991868007782396
16	0.0005449632751077862	0.037153843709166696
17	0.0006048767432613988	0.03914295198568537
18	0.0006140875806547629	0.039439853116328305
19	0.0006436702446298144	0.040378654968864315
20	0.0006890642872040185	0.04177822674830219
21	0.0007480999982803318	0.043531131772212274
22	0.0008039246451952698	0.045126100163480815
23	0.0008116961188339765	0.04534369072610081
24	0.000826475435955437	0.04575463622717936
25	0.0008471713548682929	0.04632396907994867
26	0.0009265596439694446	0.048445876985211585
27	0.0009618844487561638	0.04936073107967809
28	0.0009768123710451714	0.04974228223176379
29	0.0010080800426279133	0.05053213412289645
30	0.0010705086384653686	0.05207331427567815
31	0.0010925428435304041	0.05260649535103073
32	0.0011809022420891104	0.05469241560209874
33	0.001210365117824832	0.05537048546378067
34	0.0012603345032297655	0.056501899016017036
35	0.001304507040160578	0.057483518817246435
36	0.001327679373233331	0.057991819604148946
37	0.0013799334449450518	0.059122011560373805
38	0.0014284478209645778	0.060152311684894016
39	0.0014947691579262298	0.06153287341037402
40	0.0015030780028776843	0.061703655161375486
41	0.0015433499758668444	0.06252480435460027
42	0.0015672397266867449	0.06300686157357603
43	0.0016398124985933522	0.06444915503061209
44	0.0017171912068743055	0.06595222620974323
45	0.0017460761553846978	0.06650460564020697
46	0.0018093281234070457	0.06769846141610683
47	0.0018273446461357168	0.06803468279725847
48	0.0018647460375354871	0.06872741006700817
