# Mode	Eigenvalue
1	-2.1967243398550432e-16
2	-8.521533474508555e-18
3	-6.235265909684955e-18
4	7.223360595208208e-19
5	9.13231178343306e-17
6	2.1470021850810618e-16
7	0.004778000942531344
8	0.006607348618212401
9	0.009323097484574246
10	0.009858392718967738
11	0.012502960298096062
12	0.014709408967924399
13	0.01672844304195717
14	0.02551828690946386
15	0.028852804737800438
16	0.03455915616470658
17	0.03662563080926762
18	0.038837935210819484
19	0.04221779764174372
20	0.0485093561203882
21	0.04999583126563862
22	0.05076075341404806
23	0.05468920512265298
24	0.06338055850753793
25	0.06927885468712662
26	0.07134488980827115
27	0.07708352706689636
28	0.0801435355329708
29	0.08139841576174159
30	0.08463360132300776
31	0.09093962861572168
32	0.09640259721539932
33	0.10075872581663516
34	0.10345618774764963
35	0.10851518115289822
36	0.11376458334697129
37	0.11925525244014575
38	0.14618735336036262
39	0.1514646985829299
40	0.16101213879666995
41	0.17328203682610327
42	0.17840800168041646
43	0.18709581445600024
44	0.19105322320549734
45	0.19319933304966108
46	0.19745810800929747
47	0.2027901614584216
48	0.20364703527877454
49	0.21024035542979883
50	0.2162890660399329
51	0.2210210477189807
52	0.2304377794899239
53	0.23745299544034376
54	0.2612833299133807
55	0.2770487135270107
56	0.35097247251053887
57	0.40098058491778155
58	0.5136799555836322
59	0.5734145299832367
60	0.7009282701843512
61	0.7541850945566866
62	0.8552366579295041
63	0.8719769028140268
64	0.9295010219213438
65	1.0645771601816005
66	1.1448660991700863
67	1.316151898888327
68	1.3443609796197586
69	1.364941809977646
70	1.5417479904836044
71	1.6839457330867595
72	1.8072253194477632
73	1.8296460331113564
74	2.209263168743928
75	2.3277026567472667
76	2.798691155443651
77	3.0650087975186127
78	69.88060860985222
